datetime,temp1,humidity,temp2,humidity2,pressure
5/17/2025 4:12,nan,nan,13.79,77.85,961.34
5/17/2025 4:15,nan,nan,13.64,78.95,961.41
5/17/2025 4:18,nan,nan,13.69,79.07,961.39
5/17/2025 4:21,nan,nan,13.79,78.25,961.4
5/17/2025 4:24,nan,nan,13.7,78.8,961.37
5/17/2025 4:27,nan,nan,13.73,78.96,961.41
5/17/2025 4:30,nan,nan,13.63,78.89,961.39
5/17/2025 4:33,nan,nan,13.67,78.51,961.35
5/17/2025 4:36,nan,nan,13.79,78.41,961.32
5/17/2025 4:39,nan,nan,13.62,78.96,961.36
5/17/2025 4:42,nan,nan,13.74,78.63,961.36
5/17/2025 4:45,nan,nan,13.76,78.74,961.32
5/17/2025 4:48,nan,nan,13.7,79.02,961.46
5/17/2025 4:51,nan,nan,13.61,79.35,961.51
5/17/2025 4:54,nan,nan,13.68,79.27,961.48
5/17/2025 4:57,nan,nan,13.66,78.93,961.49
5/17/2025 5:00,nan,nan,13.64,78.57,961.5
5/17/2025 5:03,nan,nan,13.51,78.99,961.55
5/17/2025 5:06,nan,nan,13.6,79.02,961.54
5/17/2025 5:09,nan,nan,13.69,78.62,961.57
5/17/2025 5:12,nan,nan,13.73,78.4,961.56
5/17/2025 5:15,nan,nan,13.75,78.06,961.58
5/17/2025 5:18,nan,nan,13.74,78.19,961.61
5/17/2025 5:21,nan,nan,13.61,78.38,961.63
5/17/2025 5:24,nan,nan,13.52,78.85,961.66
5/17/2025 5:27,nan,nan,13.64,78.78,961.66
5/17/2025 5:30,nan,nan,13.77,78.16,961.65
5/17/2025 5:33,nan,nan,13.5,78.67,961.64
5/17/2025 5:36,nan,nan,13.39,78.86,961.7
5/17/2025 5:39,nan,nan,13.48,78.81,961.71
5/17/2025 5:42,nan,nan,13.56,78.68,961.76
5/17/2025 5:45,nan,nan,13.55,78.73,961.83
5/17/2025 5:48,nan,nan,13.55,78.84,961.88
5/17/2025 5:51,nan,nan,13.64,78.46,961.9
5/17/2025 5:54,nan,nan,13.64,77.76,961.9
5/17/2025 5:57,nan,nan,13.19,78.94,961.95
5/17/2025 6:00,nan,nan,12.1,81.35,962.05
5/17/2025 6:03,nan,nan,12.39,80.45,962.02
5/17/2025 6:06,nan,nan,11.85,82.8,962.05
5/17/2025 6:09,nan,nan,11.96,82.34,962.08
5/17/2025 6:12,nan,nan,12.27,81.05,962.17
5/17/2025 6:15,nan,nan,11.97,81.42,962.15
5/17/2025 6:18,nan,nan,11.93,81.59,962.2
5/17/2025 6:21,nan,nan,11.7,82.4,962.17
5/17/2025 6:24,nan,nan,11.8,81.54,962.13
5/17/2025 6:27,nan,nan,11.79,81.15,962.16
5/17/2025 6:30,nan,nan,12.04,80.02,962.15
